,VIF Factor,features
1,10.98913566516107,Q('is_holiday')[T.True]
2,4.026965159097461,Q('is_rain')[T.True]
3,29.925314328884475,Q('latitude')
4,86.98106642663224,Q('longitude')
5,3.578777890242283,Q('6~7_ride')
6,inf,Q('8~9_ride')
7,inf,Q('9~10_ride')
8,inf,Q('10~11_ride')
9,inf,Q('11~12_ride')
10,2.896281697044145,Q('6~7_takeoff')
11,inf,Q('8~9_takeoff')
12,inf,Q('9~10_takeoff')
13,inf,Q('10~11_takeoff')
14,inf,Q('11~12_takeoff')
15,2.9007669101142577,Q('day')
16,inf,Q('Fri')
17,inf,Q('Mon')
18,inf,Q('Sat')
19,inf,Q('Sun')
20,inf,Q('Thr')
21,inf,Q('Tue')
22,inf,Q('day_name_9~10_ride_mean')
23,inf,Q('day_name_11~12_ride_mean')
24,inf,Q('day_type_11~12_ride_mean')
25,inf,Q('in_out_8~9_takeoff_mean')
26,inf,Q('in_out_11~12_takeoff_sum')
27,19.772251136614916,Q('dis_jeju')
28,81.53652859848265,Q('dis_seongsan')
29,17.53623070995315,Q('dis_po')
30,7.454254847777275,Q('gosan')
31,19.689087707778256,Q('jeju')
32,14.663263117186641,Q('po')
33,inf,Q('takeoff_sum')
34,62.73739871863007,Q('7~8_ride_date_sum')
35,19.52979210555613,Q('11~12_ride_date_sum')
36,99.594605353543,Q('6~8r')
37,inf,Q('8~10r')
38,inf,Q('10~12r')
39,inf,Q('6~8t')
40,inf,Q('8~10t')
41,inf,Q('10~12t')
42,2.5414686025981363,Q('bus_route_id_mean')
43,3.4072370973879886,Q('station_code_mean')
44,3.0977344503203352,Q('station_code_sum')
45,3.722215214283133,Q('route_station_code_mean')
46,3.067478749281857,Q('congestion')
47,3.336833091474987,Q('6~7_ride_sum')
48,4.600549281189501,Q('7~8_ride_sum')
49,5.246821836440261,Q('8~9_ride_sum')
50,6.720171160776474,Q('9~10_ride_sum')
51,7.1451846549940905,Q('10~11_ride_sum')
52,7.392161427219369,Q('11~12_ride_sum')
53,2.5739224491408104,Q('6~7_takeoff_sum')
54,3.8194469091048417,Q('7~8_takeoff_sum')
55,4.618788791968887,Q('8~9_takeoff_sum')
56,6.64634665193967,Q('9~10_takeoff_sum')
57,7.4409863304716515,Q('10~11_takeoff_sum')
58,7.330533468428748,Q('11~12_takeoff_sum')
59,3.4494789104313446,Q('user_cat_sum_2')
60,4.304058100794591,Q('user_cat_sum_4')
61,2.502759147845026,Q('user_cat_sum_30')
62,4849.6893372703125,Q('user_cat_ratio_1')
63,146.91367175375908,Q('user_cat_ratio_2')
64,2479.7873414025776,Q('user_cat_ratio_4')
65,2991.339937031334,Q('user_cat_ratio_6')
66,52.233766587629674,Q('user_cat_ratio_27')
67,96.5233093491079,Q('user_cat_ratio_28')
68,6.011370747213184,Q('user_cat_ratio_29')
69,2.4086136073883364,Q('user_cat_ratio_30')
70,795.4330124074162,Q('geton_vhc_passby_count')
71,4.547591206143793,Q('현재기온_10')
72,3.4495306120208484,Q('일강수_10')
73,2.928752576126188,Q('구름많음')
74,2.462233881138455,Q('구름조금')
75,3.2768605622840656,Q('맑음')
76,3.2788750619969385,Q('박무')
77,5.830850084210108,Q('보통비계속')
78,4.087633760952318,Q('비 끝남')
79,3.0590606857016747,Q('소나기 끝')
80,3.699133357060895,Q('약한비계속')
81,2.7638361851172237,Q('약한비단속')
82,1.3039471185789275,Q('encoded_bus_route_id_frequency_encoded')
83,1.1570151646358195,Q('encoded_station_code_frequency_encoded')
84,1.2719962088015944,Q('encoded_route_station_code_frequency_encoded')
