,VIF Factor,features
1,1.9608403485593662,Q('is_holiday')[T.True]
2,3.8160532010321266,Q('is_rain')[T.True]
3,3.5611317280688324,Q('6~7_ride')
4,5.249525166251256,Q('9~10_ride')
5,6.055979812251132,Q('11~12_ride')
6,2.229233716096164,Q('6~7_takeoff')
7,5.339186465130598,Q('9~10_takeoff')
8,5.845391227511637,Q('11~12_takeoff')
9,2.5864512182252244,Q('day')
10,3.9871431242476167,Q('Mon')
11,2.0407545920283803,Q('Sat')
12,2.8128528831704673,Q('Thr')
13,2.024694990163337,Q('Tue')
14,1.0768909473783517,Q('in_out_8~9_takeoff_mean')
15,4.831712616972833,Q('dis_jeju')
16,2.620796371592352,Q('dis_seongsan')
17,6.175227893220235,Q('dis_po')
18,4.394961685921575,Q('gosan')
19,9.885943183901349,Q('po')
20,2.9028490384306793,Q('7~8_ride_date_sum')
21,4.5609484336843655,Q('6~8r')
22,7.091162565274934,Q('8~10r')
23,8.413482641407768,Q('10~12r')
24,7.033867883754245,Q('8~10t')
25,8.237828564619043,Q('10~12t')
26,2.535382650433486,Q('bus_route_id_mean')
27,3.3965375924306276,Q('station_code_mean')
28,3.082818947775562,Q('station_code_sum')
29,3.7121327608976973,Q('route_station_code_mean')
30,3.0618664155054063,Q('congestion')
31,3.333215387710446,Q('6~7_ride_sum')
32,4.567783063572566,Q('7~8_ride_sum')
33,5.24215386900886,Q('8~9_ride_sum')
34,6.717970250167484,Q('9~10_ride_sum')
35,7.132984012946184,Q('10~11_ride_sum')
36,7.3810787369535396,Q('11~12_ride_sum')
37,2.5712328253634125,Q('6~7_takeoff_sum')
38,2.071797893002659,Q('7~8_takeoff_sum')
39,4.58191991889266,Q('8~9_takeoff_sum')
40,6.6401102364583835,Q('9~10_takeoff_sum')
41,7.4376417801826715,Q('10~11_takeoff_sum')
42,7.319350218469161,Q('11~12_takeoff_sum')
43,3.4438535696221106,Q('user_cat_sum_2')
44,4.291379131965766,Q('user_cat_sum_4')
45,2.5021443358231434,Q('user_cat_sum_30')
46,1.6679623207129193,Q('user_cat_ratio_2')
47,1.856741037568835,Q('user_cat_ratio_4')
48,1.80710522587415,Q('user_cat_ratio_6')
49,1.4233329231815308,Q('user_cat_ratio_27')
50,1.1379058830901305,Q('user_cat_ratio_28')
51,1.1857870007207583,Q('user_cat_ratio_29')
52,2.2884019856682545,Q('user_cat_ratio_30')
53,3.5318778435993323,Q('현재기온_10')
54,3.0068114419187446,Q('일강수_10')
55,2.496829051715038,Q('구름많음')
56,2.3274579350213447,Q('구름조금')
57,2.0119652880507024,Q('맑음')
58,2.930300820796377,Q('박무')
59,3.0774430383136093,Q('보통비계속')
60,3.0952644078379885,Q('비 끝남')
61,1.6460555190587884,Q('소나기 끝')
62,2.7750592271765484,Q('약한비계속')
63,1.9618573267016555,Q('약한비단속')
64,1.2969856321019302,Q('encoded_bus_route_id_frequency_encoded')
65,1.1492238227365734,Q('encoded_station_code_frequency_encoded')
66,1.2540161798107885,Q('encoded_route_station_code_frequency_encoded')
